"dataset","method","labeling","TPR_mean","TPR_sd","TNR_mean","TNR_sd","BA_mean","BA_sd","F2_mean","F2_sd","n_seeds"
"WBC","LUNAR","true_rate",0.54,0.181659021245849,0.978403755868545,0.00852859254675351,0.759201877934272,0.0950938068963015,0.54,0.181659021245849,5
"WDBC","AutoEncoder","contam_0.1",0.58,0.0836660026534075,0.912605042016807,0.0023435855084988,0.746302521008403,0.0430047940809532,0.376623376623377,0.0543285731515633,5
"WDBC","AutoEncoder","true_rate",0.2,0.1,0.977591036414566,0.00280112044817926,0.588795518207283,0.0514005602240896,0.2,0.1,5
"WDBC","ECOD","contam_0.1",0.6,NA,0.913165266106443,NA,0.756582633053221,NA,0.38961038961039,NA,1
"WDBC","ECOD","true_rate",0.4,NA,0.983193277310924,NA,0.691596638655462,NA,0.4,NA,1
"WDBC","LUNAR","contam_0.1",0.6,0.0707106781186547,0.913165266106443,0.00198069126382786,0.756582633053221,0.0363456846912413,0.38961038961039,0.0459160247523732,5
"WDBC","LUNAR","true_rate",0.24,0.0547722557505166,0.978711484593837,0.00153423685575676,0.609355742296919,0.0281532463031367,0.24,0.0547722557505166,5
"Wilt","AutoEncoder","contam_0.1",0.0287937743190661,0.00852486470825161,0.89596668128014,0.00048024774879891,0.462380227799603,0.00450255622852525,0.0245033112582781,0.00725460341066445,5
"Wilt","AutoEncoder","true_rate",0.00778210116731518,0.00389105058365759,0.944103463393249,0.000219202104340233,0.475942782280282,0.0020551263439989,0.00778210116731518,0.00389105058365759,5
"Wilt","ECOD","contam_0.1",0.0544747081712062,NA,0.897413415168786,NA,0.475944061669996,NA,0.0463576158940397,NA,1
"Wilt","ECOD","true_rate",0.0311284046692607,NA,0.94541867601929,NA,0.488273540344275,NA,0.0311284046692607,NA,1
"Wilt","LUNAR","contam_0.1",0.0280155642023346,0.0185387225674266,0.895922840859272,0.00104437783862969,0.461969202530803,0.00979155020302815,0.023841059602649,0.0157763301318829,5
"Wilt","LUNAR","true_rate",0.00544747081712062,0.0021312161770629,0.943971942130644,0.000120061937199746,0.474709706473882,0.00112563905713132,0.00544747081712062,0.0021312161770629,5
